# Interface strings — English (key | text). {0} {1}… = arguments.
app.title | The Cartography of the Absent
app.chapter | Chapter 1 — Low Tide
app.version | 1.0.0-ch1
app.studio | Atelier Marée Basse
menu.continue | Continue
menu.new | New game
menu.load | Load
menu.settings | Settings
menu.credits | Credits
menu.quit | Quit
menu.confirm_new | Start a new game? Existing saves are kept in their slots.
ui.yes | Yes
ui.no | No
ui.close | Close
ui.back | Back
ui.continue | Continue
ui.understood | Got it
ui.validate | Confirm
ui.clear | Clear
ui.on | on
ui.off | off
ui.tap_skip | tap to skip
ui.hold_skip | hold to skip
pause.title | Paused
pause.info | {0} played · map {1} % · {2} pages · {3} echoes
pause.resume | Resume
pause.save | Save
pause.load | Load
pause.carnet | Notebook
pause.title_screen | Title screen
saves.load_title | Load a game
saves.save_title | Save
saves.slot | Slot {0}
saves.empty | — empty —
saves.corrupt | Unreadable save (damaged file)
saves.desc | {0} · {1} · map {2} % · {3} · {4}
saves.load | Load
saves.save | Write
saves.confirm_delete | Delete this save?
save.auto | Autosave
save.checkpoint | Checkpoint
save.slot | Slot {0}
save.letter | The letter
save.end | End of chapter 1
toast.checkpoint | Checkpoint saved
toast.saved | Game saved
toast.saved_named | Saved: {0}
toast.no_save | No save to continue
toast.item | In the satchel: {0}
toast.secret | A secret of the peninsula
toast.lang | Language changed
set.tab_graphics | Graphics
set.tab_audio | Audio
set.tab_game | Game
set.tab_access | Comfort
set.quality | Quality
set.q_LOW | Low
set.q_MEDIUM | Medium
set.q_HIGH | High
set.q_ULTRA | Ultra
set.quality_help | Low: lighter images, no particles or grain — for modest devices. Ultra: double particles, parallax, paper grain.
set.vignette_grain | Vignette and paper grain
set.reduce_motion | Reduce motion
set.ui_scale | Interface size
set.master | Master volume
set.music | Music
set.ambience | Ambience
set.sfx | Effects
set.vibration | Vibration
set.language | Language
set.sensitivity | Touch sensitivity
set.hints | Puzzle help
set.hint_STANDARD | Standard
set.hint_PURISTE | Purist
set.hint_ASSURE | Assured
set.hints_help | Standard: hints on request, the notebook offers a summary after two failures. Purist: the game never offers anything. Assured: Ysolde offers a hint after a single failure. No judgement, no different reward.
set.autosave | Autosave
set.left_handed | Buttons on the left (left-handed)
set.text_size | Text size
set.high_contrast | High contrast
set.subtitles | Cinematic subtitles
set.access_help | Every puzzle can be solved without sound (visual notation) and without pixel precision. Assured mode enables the assisted variants.
tide.PM1 | rising tide
tide.BM | low tide
tide.PM2 | high tide
tide.PM3 | slack water
tide.PM4 | falling tide
tide.PM5 | ebb
act.1 | Act I — The town
act.2 | Act II — The traces
act.3 | Act III — The cliff
act.4 | Act IV — The Blue Hours
act.5 | Epilogue
act.card_1 | ACT I
act.card_2 | ACT II
act.card_3 | ACT III
act.card_4 | ACT IV
world.ask_filou | Ask Filou
world.hold | hold
world.hold_hint | You have to stay: hold your finger on the spot.
world.lens_hint | The Surveyor's lens wakes up the erased marks: hidden details appear for a few seconds.
world.need_item | I would need: {0}.
world.npc_busy | Not now. You don't interrupt someone listening to the sea.
world.wait_done | The tide has turned: {0}.
world.pet_1 | filou pushes his head under my hand. his skull is warm.
