# Pensées de Lohen — prologue et acte I (clé | texte). Variantes : .2 (deuxième examen), .10 (dixième), .act3/.act4, .after (après la lettre), .ng (NG+), .DOUCEUR/.COURAGE/.RUSE (trait dominant)

# ── Z00 — le rêve
z00.lune | la lune est ronde comme un cachet de cire. elle scelle quelque chose. je ne sais pas encore quoi.
z00.muret | le muret du port, posé sur l'eau. quelqu'un y est assis. quelqu'un s'y est toujours assis.

# ── Z01 — le Cabinet
z01.boutique | l'odeur d'encre et de cire. le matin bleu entre par la porte ouverte. ombeline a déjà tout rangé, c'est-à-dire tout déplacé.
z01.boutique.ng | je connais cette pièce par cœur. je la revois quand même comme la première fois. c'est ça, relire.
z01.boutique.after | je suis sortie d'ici ce matin pour lever un plan de veille. je reviens avec une lettre. les cartes ne prévoient jamais le retour.
z01.table | la grande table. dix générations de coudes ont poli le bord. on y dessine debout : ombeline dit qu'on ment moins debout.
z01.table.2 | le plan de veille de la corniche est resté là, à moitié levé. j'ai une autre carte à faire, aujourd'hui.
z01.table.10 | j'ai passé plus d'heures ici qu'à dormir. le bois me connaît. c'est mon banc trois à moi.
z01.horloge | l'horloge marine. soixante battements par minute, exactement. c'est la seule chose de la maison qui ne mesure pas la mer.
z01.horloge.2 | elle retarde de quatre minutes depuis 1991. ombeline refuse qu'on la règle : « c'est une heure de la maison ».
z01.carte_murale | la presqu'île, levée par aurélien vasseur en 1936. le trait est sûr. les blancs sont honnêtes : là où il ne savait pas, il n'a rien inventé.
z01.carte_murale.2 | la pointe est dessinée sèche, en trois traits. les cartes ne savent pas faire tendre.
z01.tiroirs | le meuble à tiroirs. chaque tiroir, une année de relevés. le tiroir du bas, à trois molettes, garde « les effacés ».
z01.tiroir_fait | le tiroir est ouvert. les six lettres d'adieu datées dorment dedans. je les relirai. pas ce matin.
z01.theodolite | mon théodolite de terrain. trépied pliable, lunette à réticule. un jour de travail de cartographe tient dans ce sac.
z01.gomme | la gomme rouge du cabinet, biseautée par vingt ans de repentirs. ombeline dit qu'une carte sans gomme est un mensonge sans remords.
z01.porte | la porte est ouverte sur la rue. ombeline l'ouvre à cinq heures pour « aérer les cartes ». les cartes n'ont jamais eu besoin d'air. elle, si.
z01.pas_encore | pas encore. ombeline n'a pas fini de me dire la journée. on ne sort pas d'un cabinet avant d'avoir sa mission : c'est une loi de la maison.
z01.atelier | l'atelier. la table lumineuse, les casiers, la fenêtre sur les toits. c'est ici que les relevés deviennent des cartes, et les cartes des choses qu'on peut plier.
z01.table_lumineuse | la table à dessin. le calque du plan de veille attend. je ne vais pas le finir aujourd'hui. je le sais déjà, et je ne sais pas comment je le sais.
z01.casiers | les casiers à relevés : 1936 en bas, 2026 en haut. on monte dans le temps en levant la tête. c'est un meuble bien pensé.
z01.fenetre_atelier | les toits de tôle, le clocher, la mer au bout. tout ce que je sais dessiner tient dans cette fenêtre.
z01.encres | encre de chine, encre garance, encre indigo pour la mer et les terres inconnues. le bleu des cartes anciennes : la couleur de ce qu'on n'a pas encore vu.
z01.rouleaux | des rouleaux de cartes anciennes. certaines ont des côtes qui n'existent plus. la mer déplace les lignes ; le papier, lui, s'en souvient.
z01.escalier | l'escalier raide de la chambre. je le monte sans allumer depuis six ans. le corps compte mieux que moi.
z01.chambre | ma chambre sous le toit. l'œil-de-bœuf, le lit étroit, le manteau au crochet. je n'y ai jamais pleuré. ce n'est pas la pièce pour ça.
z01.chambre.after | le lit, le manteau, l'œil-de-bœuf. rien n'a bougé. moi, si.
z01.lit_attente | je me suis allongée une minute. le plafond a la couleur d'un matin qui insiste. je me relève : le monde a avancé d'une marée.
z01.lucarne | la lucarne donne sur le ciel et rien d'autre. c'est reposant, une fenêtre qui ne montre pas la mer.
z01.oeil_de_boeuf | l'œil-de-bœuf cadre le clocher exactement. l'ancien locataire l'a voulu ainsi. on habite toujours le regard de quelqu'un d'autre.
z01.commode | la commode. trois tiroirs : le linge, les carnets pleins, les carnets vides. le tiroir des carnets vides est le plus lourd.
z01.enveloppe | une enveloppe d'ombeline, posée là pendant la nuit : « pour la deuxième fois. on relit, on ne recommence pas. — o. »
z01.manteau | mon manteau. « mets ton manteau, il va faire vent » : c'est ce qu'on dit aux enfants, ici, à la place de « je t'aime ».
z01.manteau.after | mets ton manteau. il va faire vent. ... je le mets.

# ── Z02 — le quartier des pêcheurs
z02.rue | la rue basse. les filets sèchent d'un mur à l'autre, les volets bleus ont déjà ouvert un œil sur dix. le port se repose sur ses lauriers de dimanche.
z02.rue.act3 | le soir dore la rue. les filets font des ombres de résille sur les façades. quelqu'un fait cuire du poisson : c'est l'heure honnête.
z02.rue.act4 | toutes les fenêtres sont allumées. toutes. le quartier veille. on ne veille pas pour rien, ici.
z02.filets | les filets qui sèchent. la maille est reprisée à dix endroits par dix mains différentes. un filet, c'est un registre de voisins.
