# Chaînes de l'interface — français (clé | texte). {0} {1}… = arguments.
app.title | La Cartographie des Absents
app.chapter | Chapitre 1 — La Marée Basse
app.version | 1.0.0-ch1
app.studio | Atelier Marée Basse
menu.continue | Continuer
menu.new | Nouvelle partie
menu.load | Charger
menu.settings | Options
menu.credits | Crédits
menu.quit | Quitter
menu.confirm_new | Commencer une nouvelle partie ? Les sauvegardes existantes sont conservées dans leurs emplacements.
ui.yes | Oui
ui.no | Non
ui.close | Fermer
ui.back | Retour
ui.continue | Continuer
ui.understood | Compris
ui.validate | Valider
ui.clear | Effacer
ui.on | activé
ui.off | désactivé
ui.tap_skip | toucher pour passer
ui.hold_skip | maintenir pour passer
pause.title | Pause
pause.info | {0} de jeu · carte {1} % · {2} pages · {3} échos
pause.resume | Reprendre
pause.save | Sauvegarder
pause.load | Charger
pause.carnet | Le carnet
pause.title_screen | Écran-titre
saves.load_title | Charger une partie
saves.save_title | Sauvegarder
saves.slot | Emplacement {0}
saves.empty | — vide —
saves.corrupt | Sauvegarde illisible (fichier endommagé)
saves.desc | {0} · {1} · carte {2} % · {3} · {4}
saves.load | Charger
saves.save | Écrire
saves.confirm_delete | Supprimer cette sauvegarde ?
save.auto | Sauvegarde automatique
save.checkpoint | Point de passage
save.slot | Emplacement {0}
save.letter | La lettre
save.end | Fin du chapitre 1
toast.checkpoint | Point de passage enregistré
toast.saved | Partie sauvegardée
toast.saved_named | Sauvegarde : {0}
toast.no_save | Aucune sauvegarde à reprendre
toast.item | Dans la sacoche : {0}
toast.secret | Un secret de la presqu'île
toast.lang | Langue changée
set.tab_graphics | Graphismes
set.tab_audio | Audio
set.tab_game | Jeu
set.tab_access | Confort
set.quality | Qualité
set.q_LOW | Faible
set.q_MEDIUM | Moyenne
set.q_HIGH | Élevée
set.q_ULTRA | Ultra
set.quality_help | Faible : images allégées, sans particules ni grain — pour les appareils modestes. Ultra : particules doubles, parallaxe, grain de papier.
set.vignette_grain | Vignette et grain de papier
set.reduce_motion | Réduire les mouvements
set.ui_scale | Taille de l'interface
set.master | Volume général
set.music | Musique
set.ambience | Ambiances
set.sfx | Effets
set.vibration | Vibrations
set.language | Langue
set.sensitivity | Sensibilité tactile
set.hints | Aide aux énigmes
set.hint_STANDARD | Standard
set.hint_PURISTE | Puriste
set.hint_ASSURE | Assurée
set.hints_help | Standard : les indices se demandent, le carnet propose une synthèse après deux échecs. Puriste : le jeu ne propose jamais rien. Assurée : Ysolde propose l'indice après un seul échec. Aucun jugement, aucune récompense différente.
set.autosave | Sauvegarde automatique
set.left_handed | Boutons à gauche (gaucher)
set.text_size | Taille du texte
set.high_contrast | Contraste renforcé
set.subtitles | Sous-titres des cinématiques
set.access_help | Toutes les énigmes se résolvent sans le son (notation visuelle) et sans précision millimétrique. Le mode Assurée active les variantes assistées.
tide.PM1 | marée montante
tide.BM | marée basse
tide.PM2 | pleine mer
tide.PM3 | mer étale
tide.PM4 | marée descendante
tide.PM5 | jusant
act.1 | Acte I — La ville
act.2 | Acte II — Les traces
act.3 | Acte III — La falaise
act.4 | Acte IV — Les Heures Bleues
act.5 | Épilogue
act.card_1 | ACTE I
act.card_2 | ACTE II
act.card_3 | ACTE III
act.card_4 | ACTE IV
world.ask_filou | Questionner Filou
world.hold | maintenir
world.hold_hint | Il faut rester : maintenir le doigt sur le point.
world.lens_hint | La lentille d'Arpenteur réveille les marques effacées : les détails cachés apparaissent quelques secondes.
world.need_item | Il me faudrait : {0}.
world.npc_busy | Pas maintenant. On n'interrompt pas quelqu'un qui écoute la mer.
world.wait_done | La marée a tourné : {0}.
world.pet_1 | filou pousse la tête sous ma main. il a le crâne chaud.
world.pet_2 | il ferme les yeux. deux secondes. c'est un cadeau de chien.
