# Les étiquettes du bois des noms (GDD Annexe F 1→20 et Annexe Q 51→80).
# Format : n° | texte

1 | MARIE-LA — TERRE-NEUVAS 1904 — le pain lève, j'en fais trop pour une.
2 | PAPA — MER DEHORS 1951 — j'ai appris la marelle. tu me montreras l'autre.
3 | JEANNE — GARE 1979 — les trains s'arrêtent, toi non.
4 | CORENTIN — LE LARGE 1962 — je t'ai laissé la veste. garde la veste.
5 | MADE & LÉO — MARIÉS ICI-MÊME 1934 — on reviendra par l'ouest.
6 | FILS — VIEUX-QUAI 1998 — ta mère dit que tu as grandi. elle a raison comme toujours.
7 | L'ÉQUIPAGE DU SAINT-EUMÈLE — 1707 — neuf piquets. merci.
8 | À CELLE QUI LUIMÊME — 1921 —
9 | PAPA — 2009 — MER DEHORS — tu me manques en noms propres.
10 | LE GÉNÉRAL — NICHOIR 9 — 2019 — bon retour.
11 | MAMIE ROSA — LE FOUR — 1980 — tes galettes manquent au village entier.
12 | FRÈRE — HÔTEL-DIEU 1946 — j'ai pris ta place au filet. elle est chaude.
13 | LOHEN — PORT-CENDRE 2013 — bien arrivée.
14 | ESTEBAN — PHARE 2020 — engagé.
15 | MAMAN — SALINES DU SUD 2016 — j'ai pris la mer en face. elle est pareille que la tienne.
16 | YSOLDE — 1998 —
17 | SIDONIE — LES ÉTOILES 2025 — t'as mieux réussi que nous tous.
18 | À MOI-MÊME — 60 ANS — rendez-vous en 2040. on verra ce qui reste.
19 | LE CHAT — LE MARCHÉ — 2011 —
20 | TOUTE LA CLASSE — 11 NOVEMBRE 2025 — on a lu les trente noms. ils sont revenus un peu.
51 | ALPHONSE — LE LARGE 1921 — le filet est raccommodé. il attend son second homme.
52 | MÈRE ANGÈLE — LA FLÈCHE 1930 — le catéchisme dit de ne pas pleurer. le bois dit de venir ici. le bois a raison plus souvent.
53 | PETIT JOJO — LA ROUGEOLE 1943 — pas la mer, pas la guerre : la rougeole, six ans, injuste. le bois prend tout le monde. c'est son métier d'en prendre tout le monde.
54 | MARIE-CLAIRE — LE TRAIN DES ADIEUX 1919 — partie vers la ville, revenue en esprit. les étiquettes, c'est pour les deux.
